DayType,Month,Hour,EntryAvgs,ExitAvgs,EntryRatioToEntireDayAvg,ExitRatioToEntireDayAvg,FebEntryAvgs,FebExitAvgs,FebEntryRatioToEntireDayAvg,FebExitRatioToEntireDayAvg,FebEntryAvgsDiff,FebEntryAvgsDiffPerc,FebExitAvgsDiff,FebExitAvgsDiffPerc,FebEntryRatioDiff,FebExitRatioDiff
Weekday,Apr,16,116896.86363636363,112456.27272727272,1.5235734259105667,1.3749829565495757,978754,774256.3,1.1168785467108318,1.1012200235704919,-861857.1363636364,-88.05656338197713,-661800.0272727273,-85.4755753711952,-0.4066948791997349,-0.27376293297908383
Weekend,Apr,16,66027.375,73837.5,1.5022453237826097,1.38781043359972,709149.1111111111,596155.6666666666,1.5438661760844432,1.4912980990497215,-643121.7361111111,-90.68921134279549,-522318.1666666666,-87.61439266142456,0.041620852301833544,0.10348766545000165
Weekday,Apr,20,100196.86363636363,112214.36363636363,1.3059142396739258,1.3720251768813747,1673285.45,1304327.55,1.909424249227467,1.855137136571755,-1573088.5863636364,-94.01196827257637,-1192113.1863636365,-91.39676505059151,0.6035100095535411,0.48311195969038034
Weekend,Apr,20,54479.625,69301.5,1.239512579406347,1.3025541867494295,752201.4444444445,650994.5555555555,1.637594053893814,1.628478931719263,-697721.8194444445,-92.75730917530514,-581693.0555555555,-89.35451926462603,0.398081474487467,0.3259247449698335
Weekday,May,0,49308.375,67710.9375,0.512193419722438,0.6723923326637598,553196.2,514552.65,0.6312648202734851,0.7318451026633674,-503887.82499999995,-91.08663888146737,-446841.7125,-86.84081454055284,0.11907140055104704,0.05945276999960769
Weekend,May,0,41838.57142857143,57489.71428571428,0.79788427420201,0.9134544799577046,547491.8888888889,511030,1.1919273333245444,1.278354145014774,-505653.31746031746,-92.35813858110647,-453540.28571428574,-88.75022713231822,0.39404305912253434,0.3648996650570694
Weekday,May,4,6317.125,17219.75,0.06561947856858205,0.1709978963204693,89611.2,108431.55,0.1022573872750596,0.15422153367920283,-83294.075,-92.95051846197796,-91211.8,-84.1192438916533,0.036637908706477554,-0.016776362641266473
Weekend,May,4,5963.166666666667,17427.833333333332,0.11372082614966597,0.27691096802416043,148504.88888888888,165183.11111111112,0.3233053124462158,0.4132096252183333,-142541.72222222222,-95.9845317475519,-147755.27777777778,-89.44938546313585,0.20958448629654983,0.1362986571941729
Weekday,May,8,136802.5,112587.9375,1.4210433887058505,1.1180360030523369,524161.05,304746.85,0.5981321473694347,0.43343959014609645,-387358.55,-73.90067422980017,-192158.91249999998,-63.05525799528362,-0.8229112413364158,-0.6845964129062404
Weekend,May,8,53294.833333333336,49171.833333333336,1.0163614091241382,0.7812916102320626,135323.66666666666,98449.22222222222,0.29460888904316507,0.24627315676429637,-82028.83333333331,-60.616768192801935,-49277.38888888888,-50.05360913635116,-0.7217525200809731,-0.5350184534677662
Weekday,May,12,106664.0625,121917.5625,1.1079787345124001,1.2106823102553368,1438971.15,1212222.45,1.6420428491437218,1.7241366133690863,-1332307.0875,-92.5874773444902,-1090304.8875,-89.94264109693728,0.5340641146313216,0.5134543031137495
Weekend,May,12,60329.5,71887.16666666667,1.1505163220653913,1.1422157034349745,463328.6666666667,376724.6666666667,1.0086982352078175,0.9423860422336114,-402999.1666666667,-86.97911345869672,-304837.5,-80.91784981781566,-0.1418180868575738,-0.19982966120136303
Weekday,May,16,149737.875,141001.6875,1.5554102981130684,1.4001940759962377,978754,774256.3,1.1168785467108318,1.1012200235704919,-829016.125,-84.70117363505028,-633254.6125,-81.78875812828389,-0.43853175140223666,-0.2989740524257458
Weekend,May,16,85541,95274.33333333333,1.6313133161354834,1.513814561258707,709149.1111111111,596155.6666666666,1.5438661760844432,1.4912980990497215,-623608.1111111111,-87.93751572698548,-500881.3333333333,-84.01854772830586,-0.08744714005104015,-0.02251646220898551
Weekday,May,20,128784.375,143771.3125,1.3377546803776612,1.4276973817118594,1673285.45,1304327.55,1.909424249227467,1.855137136571755,-1544501.075,-92.30350237014252,-1160556.2375,-88.97736136141569,0.5716695688498057,0.4274397548598956
Weekend,May,20,69420.66666666667,87276.5,1.3238898066229763,1.3867369304327737,752201.4444444445,650994.5555555555,1.637594053893814,1.628478931719263,-682780.7777777779,-90.77100061700376,-563718.0555555555,-86.59335945973946,0.3137042472708378,0.24174200128648926
